Tempo Movimento SUB 1,Tempo Movimento SUB 2,Asincronia Tempo Movimento,Start SUB1,Start SUB2,Asincronia Start,Stop SUB 1,Stop SUB 2,Asincronia Grasp,Tocco Effettivo SUB1,Tocco Effettivo SUB2,numero di trials,Sub-conditions,Tocco Atteso SUB1,Tocco Atteso SUB2,Accuratezza SUB1,Accuratezza SUB2,Accuratezza Coppia,Participant,Session,Condition,triggers,Trial Start (clock time),Trial Stop (clock time)
661,671,10,4404,4355,49,5123,5059,64,1,1,1,oppo-oppo,,,0,0,0,1,1,FREE/OPPOSITE,1,16:51:35.902,16:51:41.036
579,624,45,3432,3448,16,4039,4104,65,1,1,2,oppo-oppo,,,0,0,0,1,1,FREE/OPPOSITE,1,16:51:43.470,16:51:47.847
765,700,65,3332,3284,48,4131,4038,93,1,1,3,oppo-oppo,,,0,0,0,1,1,FREE/OPPOSITE,1,16:51:55.306,16:51:59.724
612,629,17,4660,4676,16,5300,5364,64,1,1,4,oppo-oppo,,,0,0,0,1,1,FREE/OPPOSITE,1,16:52:02.055,16:52:07.429
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
