Tempo Movimento SUB 1,Tempo Movimento SUB 2,Asincronia Tempo Movimento,Start SUB1,Start SUB2,Asincronia Start,Stop SUB 1,Stop SUB 2,Asincronia Grasp,Tocco Effettivo SUB1,Tocco Effettivo SUB2,numero di trials,Sub-conditions,Tocco Atteso SUB1,Tocco Atteso SUB2,Accuratezza SUB1,Accuratezza SUB2,Accuratezza Coppia,Participant,Session,Condition,triggers,Trial Start (clock time),Trial Stop (clock time)
743,746,3,3843,3795,48,4627,4563,64,1,1,1,ugua-ugua,,,0,0,0,2,1,FREE/SAME,2,10:34:43.140,10:34:47.782
852,998,146,2540,2508,32,3438,3548,110,2,2,2,ugua-ugua,,,0,0,0,2,1,FREE/SAME,2,10:34:50.297,10:34:53.857
706,776,70,4956,4908,48,5691,5755,64,1,1,3,ugua-ugua,,,0,0,0,2,1,FREE/SAME,2,10:34:56.649,10:35:02.682
714,784,70,2385,2417,32,3184,3248,64,1,1,4,ugua-ugua,,,0,0,0,2,1,FREE/SAME,2,10:35:06.058,10:35:09.572
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
