Tempo Movimento SUB 1,Tempo Movimento SUB 2,Asincronia Tempo Movimento,Start SUB1,Start SUB2,Asincronia Start,Stop SUB 1,Stop SUB 2,Asincronia Grasp,Tocco Effettivo SUB1,Tocco Effettivo SUB2,numero di trials,Sub-conditions,Tocco Atteso SUB1,Tocco Atteso SUB2,Accuratezza SUB1,Accuratezza SUB2,Accuratezza Coppia,Participant,Session,Condition,triggers,Trial Start (clock time),Trial Stop (clock time)
741,847,106,5289,5241,48,6072,6136,64,1,1,1,oppo-oppo,,,0,0,0,2,2,FREE/OPPOSITE,1,10:29:09.560,10:29:15.966
554,645,91,3582,3550,32,4173,4237,64,1,1,2,oppo-oppo,,,0,0,0,2,2,FREE/OPPOSITE,1,10:29:19.355,10:29:23.604
618,720,102,3423,3439,16,4097,4206,109,1,1,3,oppo-oppo,,,0,0,0,2,2,FREE/OPPOSITE,1,10:29:26.163,10:29:30.382
603,713,110,4549,4517,32,5205,5269,64,1,1,4,oppo-oppo,,,0,0,0,2,2,FREE/OPPOSITE,1,10:29:34.676,10:29:39.958
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
