Tempo Movimento SUB 1,Tempo Movimento SUB 2,Asincronia Tempo Movimento,Start SUB1,Start SUB2,Asincronia Start,Stop SUB 1,Stop SUB 2,Asincronia Grasp,Tocco Effettivo SUB1,Tocco Effettivo SUB2,numero di trials,Sub-conditions,Tocco Atteso SUB1,Tocco Atteso SUB2,Accuratezza SUB1,Accuratezza SUB2,Accuratezza Coppia,Participant,Session,Condition,triggers,Trial Start (clock time),Trial Stop (clock time)
689,1259,570,4138,3691,447,4891,5001,110,1,1,1,ugua-ugua,,,0,0,0,7,2,FREE/SAME,2,16:13:02.645,16:13:07.878
377,1126,749,4131,3827,304,4581,5010,429,1,2,2,ugua-ugua,,,0,0,0,7,2,FREE/SAME,2,16:13:10.519,16:13:15.805
1285,1143,142,1576,1640,64,2887,2839,48,1,1,3,ugua-ugua,,,0,0,0,7,2,FREE/SAME,2,16:13:17.869,16:13:21.033
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
