Tempo Movimento SUB 1,Tempo Movimento SUB 2,Asincronia Tempo Movimento,Start SUB1,Start SUB2,Asincronia Start,Stop SUB 1,Stop SUB 2,Asincronia Grasp,Tocco Effettivo SUB1,Tocco Effettivo SUB2,numero di trials,Sub-conditions,Tocco Atteso SUB1,Tocco Atteso SUB2,Accuratezza SUB1,Accuratezza SUB2,Accuratezza Coppia,Participant,Session,Condition,triggers,Trial Start (clock time),Trial Stop (clock time)
702,997,295,3833,3737,96,4602,4792,190,1,1,1,oppo-su,,1,0,1,0,2,2,LEAD2/OPPOSITE,3,17:59:28.368,17:59:33.173
551,593,42,3116,3020,96,3723,3659,64,1,1,2,oppo-su,,1,0,1,0,2,2,LEAD2/OPPOSITE,3,17:59:35.896,17:59:39.632
542,757,215,10948,10900,48,11558,11700,142,1,1,3,oppo-giu,,2,0,0,0,2,2,LEAD2/OPPOSITE,3,17:59:42.196,17:59:53.908
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
