Tempo Movimento SUB 1,Tempo Movimento SUB 2,Asincronia Tempo Movimento,Start SUB1,Start SUB2,Asincronia Start,Stop SUB 1,Stop SUB 2,Asincronia Grasp,Tocco Effettivo SUB1,Tocco Effettivo SUB2,numero di trials,Sub-conditions,Tocco Atteso SUB1,Tocco Atteso SUB2,Accuratezza SUB1,Accuratezza SUB2,Accuratezza Coppia,Participant,Session,Condition,triggers,Trial Start (clock time),Trial Stop (clock time)
861,988,127,10818,10722,96,11728,11792,64,1,1,1,su-ugua,1,,1,0,0,2,2,LEAD1/OPPOSITE,3,16:41:54.005,16:42:05.801
825,1055,230,6826,6778,48,7724,7881,157,1,1,2,giu-oppo,2,,0,0,0,2,2,LEAD1/OPPOSITE,3,16:42:08.530,16:42:16.704
800,978,178,14855,14791,64,15721,15814,93,1,1,3,su-ugua,1,,1,0,0,2,2,LEAD1/OPPOSITE,3,16:42:19.837,16:42:35.664
948,824,124,97801,97753,48,98792,98648,144,1,1,4,giu-oppo,2,,0,0,0,2,2,LEAD1/OPPOSITE,3,16:42:40.817,16:44:19.913
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
