Tempo Movimento SUB 1,Tempo Movimento SUB 2,Asincronia Tempo Movimento,Start SUB1,Start SUB2,Asincronia Start,Stop SUB 1,Stop SUB 2,Asincronia Grasp,Tocco Effettivo SUB1,Tocco Effettivo SUB2,numero di trials,Sub-conditions,Tocco Atteso SUB1,Tocco Atteso SUB2,Accuratezza SUB1,Accuratezza SUB2,Accuratezza Coppia,Participant,Session,Condition,triggers,Trial Start (clock time),Trial Stop (clock time)
1767,1253,514,983,1463,480,2822,2758,64,2,2,1,ugua-ugua,,,0,0,0,4,1,FREE/SAME,2,15:32:55.898,15:32:59.012
1937,706,1231,307,371,64,2290,1140,1150,1,1,2,ugua-ugua,,,0,0,0,4,1,FREE/SAME,2,15:33:06.121,15:33:08.961
1198,860,338,922,1146,224,2153,2059,94,1,1,3,ugua-ugua,,,0,0,0,4,1,FREE/SAME,2,15:33:13.344,15:33:15.771
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
