Tempo Movimento SUB 1,Tempo Movimento SUB 2,Asincronia Tempo Movimento,Start SUB1,Start SUB2,Asincronia Start,Stop SUB 1,Stop SUB 2,Asincronia Grasp,Tocco Effettivo SUB1,Tocco Effettivo SUB2,numero di trials,Sub-conditions,Tocco Atteso SUB1,Tocco Atteso SUB2,Accuratezza SUB1,Accuratezza SUB2,Accuratezza Coppia,Participant,Session,Condition,triggers,Trial Start (clock time),Trial Stop (clock time)
648,850,202,4752,4768,16,5458,5663,205,1,1,1,ugua-ugua,,,0,0,0,2,2,FREE/SAME,2,10:32:13.196,10:32:19.145
627,873,246,2482,2514,32,3171,3425,254,1,1,2,ugua-ugua,,,0,0,0,2,2,FREE/SAME,2,10:32:22.329,10:32:26.019
596,690,94,2323,2339,16,2964,3075,111,1,1,3,ugua-ugua,,,0,0,0,2,2,FREE/SAME,2,10:32:28.602,10:32:31.679
830,851,21,2735,2703,32,3631,3567,64,1,1,4,ugua-ugua,,,0,0,0,2,2,FREE/SAME,2,10:32:33.663,10:32:37.306
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
