frame_index,t_perf_counter_s,t_unix_s
0,8781.1033675,1789396961.3359902
1,8782.1035066,1789396962.3361292
2,8783.1038231,1789396963.3364463
3,8784.104028,1789396964.3366508
4,8785.1049572,1789396965.3375797
5,8786.1054199,1789396966.3380432
6,8787.1060418,1789396967.3386648
7,8788.1062315,1789396968.3388543
8,8789.1063317,1789396969.3389542
9,8790.1065821,1789396970.339205
10,8791.1071664,1789396971.3397899
11,8792.1082261,1789396972.3408492
12,8793.1085973,1789396973.3412209
13,8794.1092463,1789396974.3418689
14,8795.1093458,1789396975.341969
15,8796.1098159,1789396976.3424385
16,8797.1100935,1789396977.3427165
17,8798.1107061,1789396978.3433292
18,8799.110977,1789396979.3435996
19,8800.1117835,1789396980.3444066
20,8801.1119151,1789396981.3445375
21,8802.1145838,1789396982.347207
22,8803.1175324,1789396983.3501558
23,8804.1218099,1789396984.3544333
24,8805.1256152,1789396985.3582385
25,8806.1318873,1789396986.3645103
26,8807.1354046,1789396987.3680284
27,8808.1396283,1789396988.3722508
28,8809.1428217,1789396989.3754442
29,8810.1475657,1789396990.380189
30,8811.1571475,1789396991.3897703
31,8812.1620161,1789396992.39464
32,8813.1637682,1789396993.3963916
33,8814.1667042,1789396994.399328
34,8815.1716754,1789396995.404299
35,8816.1752515,1789396996.4078746
36,8817.1794977,1789396997.4121206
37,8818.1834823,1789396998.416106
38,8819.1855463,1789396999.4181693
39,8820.1966932,1789397000.429316
40,8821.2005477,1789397001.4331717
41,8822.2041614,1789397002.437007
42,8823.2073875,1789397003.4400103
43,8824.2110028,1789397004.4436264
44,8825.2139212,1789397005.4465444
45,8826.2166365,1789397006.44926
46,8827.2212388,1789397007.453862
47,8828.2257395,1789397008.4583628
48,8829.2297793,1789397009.462403
49,8830.2356233,1789397010.4682462
50,8831.2392923,1789397011.4719152
51,8832.2435346,1789397012.4761577
52,8833.2480002,1789397013.4806228
53,8834.2514058,1789397014.4840286
54,8835.2565047,1789397015.4891279
55,8836.2605313,1789397016.493154
56,8837.2644327,1789397017.497056
57,8838.2683293,1789397018.5009527
58,8839.2743984,1789397019.5070217
59,8840.2799166,1789397020.5125396
60,8841.282539,1789397021.5151615
61,8842.2869182,1789397022.5195417
62,8843.2910089,1789397023.5236323
63,8844.2952313,1789397024.527855
64,8845.2998699,1789397025.532493
65,8846.304765,1789397026.5373888
66,8847.3079928,1789397027.5406163
67,8848.3122527,1789397028.5448763
68,8849.320075,1789397029.5526984
69,8850.3250197,1789397030.5576427
70,8851.3299504,1789397031.562574
71,8852.3323187,1789397032.5649421
72,8853.3365469,1789397033.56917
73,8854.3393553,1789397034.5719786
74,8855.3437453,1789397035.5763686
75,8856.3464435,1789397036.579069
76,8857.3506199,1789397037.5832434
77,8858.3618949,1789397038.5945177
78,8859.3653008,1789397039.5979238
79,8860.3676014,1789397040.6002247
80,8861.3727733,1789397041.6053963
81,8862.3751991,1789397042.607822
82,8863.3786176,1789397043.6112409
83,8864.3829095,1789397044.6155329
84,8865.3865357,1789397045.619159
85,8866.3891137,1789397046.6217372
86,8867.3946809,1789397047.6273048
87,8868.3993343,1789397048.631957
88,8869.4042567,1789397049.63688
89,8870.4096377,1789397050.6422615
90,8871.4118859,1789397051.644509
91,8872.4163761,1789397052.6489992
92,8873.4206489,1789397053.653272
93,8874.4245287,1789397054.657152
94,8875.4285427,1789397055.6611652
95,8876.43283,1789397056.6654527
96,8877.4390601,1789397057.671683
97,8878.4526358,1789397058.6852584
98,8879.4550246,1789397059.6876478
