frame_index,t_perf_counter_s,t_unix_s
0,8760.0940702,1789396940.326693
1,8761.0948776,1789396941.3275003
2,8762.0951203,1789396942.327743
3,8763.0952333,1789396943.3278558
4,8764.0958552,1789396944.328478
5,8765.096328,1789396945.3289514
6,8766.0965626,1789396946.329186
7,8767.0973955,1789396947.3300183
8,8768.0974615,1789396948.330084
9,8769.0978191,1789396949.3304415
10,8770.0979552,1789396950.330578
11,8771.0980414,1789396951.330664
12,8772.0982743,1789396952.330897
13,8773.0984732,1789396953.3310976
14,8774.0989068,1789396954.3315296
15,8775.0996573,1789396955.3322804
