frame_index,t_perf_counter_s,t_unix_s
0,975.3512671,1788879112.5834994
1,975.3655067,1788879112.5977385
2,975.3962726,1788879112.6285045
3,975.4255696,1788879112.6578016
4,975.442559,1788879112.674791
5,975.4729967,1788879112.705228
6,975.5047668,1788879112.7369993
7,975.5378334,1788879112.7700648
8,975.5696077,1788879112.8018396
9,975.5975972,1788879112.829829
10,975.6291128,1788879112.8613446
11,975.6601552,1788879112.892387
12,975.6912708,1788879112.9235027
13,975.7218209,1788879112.9540522
14,975.7520924,1788879112.984324
15,975.782566,1788879113.0147974
16,975.8126311,1788879113.0448632
17,975.843135,1788879113.0753667
18,975.8745949,1788879113.1068268
19,975.9046995,1788879113.1369312
20,975.9353624,1788879113.167594
21,975.967731,1788879113.1999626
22,975.9962671,1788879113.228499
23,976.0261707,1788879113.2584023
24,976.0435238,1788879113.2757554
25,976.0729549,1788879113.3051865
26,976.1040052,1788879113.3362367
27,976.1354797,1788879113.3677115
28,976.1678379,1788879113.40007
29,976.2002431,1788879113.4324749
30,976.2298587,1788879113.4620905
31,976.2613737,1788879113.4936054
32,976.2913584,1788879113.52359
33,976.3211014,1788879113.5533335
34,976.3351228,1788879113.5673547
35,976.3512983,1788879113.58353
36,976.3832303,1788879113.6154623
37,976.4138231,1788879113.646055
38,976.4312995,1788879113.663531
39,976.4619202,1788879113.6941516
40,976.4920011,1788879113.7242327
41,976.5234286,1788879113.75566
42,976.5543234,1788879113.786555
43,976.5852007,1788879113.8174326
44,976.6164425,1788879113.8486743
45,976.6471183,1788879113.87935
46,976.6797846,1788879113.9120166
47,976.7090183,1788879113.94125
48,976.7412142,1788879113.9734457
49,976.7718958,1788879114.0041273
50,976.8019893,1788879114.0342216
51,976.8179175,1788879114.0501494
52,976.834722,1788879114.0669546
53,976.8642736,1788879114.0965056
54,976.8943564,1788879114.1265883
55,976.911401,1788879114.1436324
56,976.925874,1788879114.1581056
57,976.9418395,1788879114.1740713
58,976.9742241,1788879114.2064564
59,977.0058074,1788879114.2380393
60,977.0362612,1788879114.2684934
61,977.0670408,1788879114.2992733
62,977.0978681,1788879114.3301
63,977.1147356,1788879114.3469677
64,977.1301019,1788879114.3623338
65,977.1615621,1788879114.393794
66,977.1925008,1788879114.424733
67,977.2234207,1788879114.4556527
68,977.2568322,1788879114.4890642
69,977.2868822,1788879114.5191143
70,977.3181493,1788879114.5503814
71,977.3490464,1788879114.5812786
72,977.3806045,1788879114.6128366
73,977.4114801,1788879114.643712
74,977.4418335,1788879114.6740654
75,977.4579145,1788879114.6901462
76,977.4893215,1788879114.721553
77,977.5215705,1788879114.753802
78,977.5530786,1788879114.7853103
79,977.5826079,1788879114.8148398
80,977.615073,1788879114.847305
81,977.6476927,1788879114.8799245
82,977.677615,1788879114.9098473
83,977.7084405,1788879114.9406729
84,977.739503,1788879114.9717352
85,977.7689822,1788879115.001214
86,977.8003356,1788879115.0325673
87,977.8316916,1788879115.0639231
88,977.8620624,1788879115.0942943
89,977.8941719,1788879115.1264043
90,977.9263425,1788879115.1585746
91,977.9571049,1788879115.189337
92,977.9874451,1788879115.2196767
93,978.0186443,1788879115.2508762
94,978.0495932,1788879115.281825
95,978.0825503,1788879115.3147821
96,978.1122264,1788879115.3444586
97,978.1438533,1788879115.3760855
98,978.1596475,1788879115.3918793
99,978.1901953,1788879115.4224272
100,978.2237392,1788879115.4559712
101,978.2547551,1788879115.4869876
