frame_index,t_perf_counter_s,t_unix_s
0,945.1308973,1788879082.3631296
1,945.1606196,1788879082.3928518
2,945.1929145,1788879082.425146
3,945.2228692,1788879082.4551013
4,945.2536906,1788879082.4859223
5,945.284874,1788879082.5171058
6,945.3192295,1788879082.5514612
7,945.3498448,1788879082.5820763
8,945.3789201,1788879082.6111517
9,945.4101382,1788879082.64237
10,945.4418028,1788879082.674034
11,945.4730094,1788879082.7052407
12,945.5033124,1788879082.735544
13,945.5347624,1788879082.766994
14,945.5661359,1788879082.7983675
15,945.5964691,1788879082.8287008
16,945.6269818,1788879082.8592138
17,945.6586615,1788879082.8908932
18,945.6895013,1788879082.921733
19,945.7209431,1788879082.9531748
20,945.7505838,1788879082.9828157
21,945.7665919,1788879082.9988234
22,945.7831364,1788879083.015368
23,945.8151128,1788879083.0473442
24,945.8454957,1788879083.077727
25,945.8771597,1788879083.1093917
26,945.9079285,1788879083.14016
27,945.9404318,1788879083.172664
28,945.9716236,1788879083.2038553
29,946.0014506,1788879083.233682
30,946.0328287,1788879083.2650604
31,946.0648934,1788879083.2971249
32,946.0947277,1788879083.3269594
33,946.1135642,1788879083.345796
34,946.1426011,1788879083.3748329
35,946.1739625,1788879083.4061947
36,946.2052614,1788879083.437493
37,946.2352869,1788879083.467518
38,946.2665432,1788879083.4987748
39,946.2984922,1788879083.5307238
40,946.328248,1788879083.5604796
41,946.3440418,1788879083.5762734
42,946.3768954,1788879083.6091268
43,946.4076953,1788879083.6399264
44,946.4395805,1788879083.6718125
45,946.4697242,1788879083.7019558
46,946.4868022,1788879083.719034
47,946.5177169,1788879083.7499485
48,946.5482173,1788879083.7804487
49,946.5654726,1788879083.7977042
50,946.5815406,1788879083.8137724
51,946.612815,1788879083.845047
52,946.6437393,1788879083.8759708
53,946.6753032,1788879083.9075356
54,946.7054299,1788879083.9376616
55,946.7377634,1788879083.969995
56,946.7711106,1788879084.0033426
57,946.8006442,1788879084.0328767
58,946.8333895,1788879084.0656216
59,946.862602,1788879084.0948339
60,946.8938215,1788879084.1260533
61,946.9246515,1788879084.1568835
62,946.9392584,1788879084.1714902
63,946.9551636,1788879084.187395
64,946.9711485,1788879084.2033799
65,946.9871532,1788879084.219385
66,947.0065076,1788879084.2387397
67,947.0350404,1788879084.267272
68,947.05116,1788879084.283392
69,947.0721388,1788879084.304371
70,947.0986883,1788879084.3309202
71,947.1154698,1788879084.3477015
72,947.1465857,1788879084.3788176
73,947.1613569,1788879084.3935885
74,947.1784996,1788879084.4107313
75,947.193568,1788879084.4257994
76,947.2115563,1788879084.4437878
77,947.2416342,1788879084.473866
78,947.2727212,1788879084.5049527
79,947.3049688,1788879084.537201
80,947.3357522,1788879084.5679843
81,947.3679387,1788879084.6001706
82,947.3971366,1788879084.6293683
83,947.4282755,1788879084.6605074
84,947.459177,1788879084.6914089
85,947.4914781,1788879084.7237103
86,947.5230701,1788879084.7553022
87,947.5556143,1788879084.7878458
88,947.5846904,1788879084.8169227
89,947.6155185,1788879084.847751
90,947.6320416,1788879084.8642733
